Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Gears,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions,Fuel avg 
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,0,10,1,16.6,10.9,14,20,329,15.375
CHEVROLET,TAHOE 4WD,SUV - STANDARD,6.2,8,0,10,1,16.4,10.7,13.8,20,325,15.225
GMC,YUKON 4WD,SUV - STANDARD,6.2,8,0,10,1,16.4,10.7,13.8,20,325,15.225
GMC,YUKON XL 4WD,SUV - STANDARD,6.2,8,0,10,1,17.1,11.3,14.5,19,340,15.475
CADILLAC,Escalade 4WD,SUV - STANDARD,6.2,8,0,10,1,16.6,10.9,14,20,328,15.375
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15,12,13.7,21,321,15.425
CHEVROLET,Suburban 4WD,SUV - STANDARD,6.2,8,0,10,1,17.1,11.3,14.5,19,340,15.475
CHEVROLET,Tahoe 4WD,SUV - STANDARD,6.2,8,0,10,1,16.4,10.7,13.8,20,325,15.225
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15.5,11.9,13.9,20,326,15.325
GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15.7,12.4,14.2,20,332,15.575
GMC,Yukon 4WD,SUV - STANDARD,6.2,8,0,10,1,16.4,10.7,13.8,20,325,15.225
GMC,Yukon XL 4WD,SUV - STANDARD,6.2,8,0,10,1,17.1,11.3,14.5,19,340,15.475
CADILLAC,Escalade 4WD,SUV - STANDARD,6.2,8,0,10,1,16.7,11.1,14.2,20,333,15.5
CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,3,6,0,10,2,10.2,7.2,8.9,32,238,14.575
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,3,6,0,10,2,10.4,8,9.4,30,252,14.45
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,5.3,8,0,10,0,14.3,10.6,12.6,22,296,14.875
CHEVROLET,Silverado 4WD LT Trail Boss,PICKUP TRUCK - STANDARD,5.3,8,0,10,0,14.7,11.2,13.1,22,307,15.25
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15,12,13.7,21,321,15.425
CHEVROLET,Silverado 4WD Custom Trail Boss,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,16.8,13.3,15.2,19,357,16.075
CHEVROLET,Silverado 4WD LT Trail Boss,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15.7,12.4,14.2,20,332,15.575
CHEVROLET,Suburban 4WD,SUV - STANDARD,6.2,8,0,10,1,17.2,11.4,14.6,19,343,15.55
CHEVROLET,Tahoe 4WD,SUV - STANDARD,6.2,8,0,10,1,16.5,10.9,13.9,20,327,15.325
GMC,Sierra,PICKUP TRUCK - STANDARD,3,6,0,10,2,10.2,7.8,9.1,31,245,14.525
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,3,6,0,10,2,10.5,9.1,9.9,29,265,14.625
GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,3,6,0,10,2,10.5,9.1,9.9,29,265,14.625
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,5.3,8,0,10,0,14.3,10.6,12.7,22,298,14.9
GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8,0,10,0,14.7,11.2,13.1,22,307,15.25
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15.5,11.9,13.9,20,326,15.325
GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,6.2,8,0,10,1,15.7,12.4,14.2,20,332,15.575
GMC,Yukon 4WD,SUV - STANDARD,6.2,8,0,10,1,16.5,10.9,13.9,20,327,15.325
GMC,Yukon XL 4WD,SUV - STANDARD,6.2,8,0,10,1,17.2,11.4,14.6,19,343,15.55
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,0,4,0,17.1,12.7,15.1,19,347,15.975
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,0,4,0,18,13.4,15.9,18,366,16.325
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,0,4,3,23.5,17.7,20.9,14,334,19.025
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,0,4,0,18.3,14.2,16.5,17,380,16.5
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,0,4,3,23.7,18.8,21.5,13,344,19.25
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,0,4,0,18.6,13.9,16.5,17,380,16.5
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,0,4,3,23.9,18.5,21.5,13,344,19.225
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,0,4,0,18.3,14.2,16.5,17,380,16.5
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,0,4,3,25.3,19.3,22.6,12,362,19.8
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,0,4,0,18.6,13.9,16.5,17,380,16.5
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,0,4,3,23.9,18.5,21.5,13,344,19.225
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,0,4,0,18.3,14.2,16.5,17,380,16.5
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,0,4,3,25.3,19.3,22.6,12,362,19.8
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,0,4,0,11.7,8.2,10.1,28,232,14.5
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,0,4,0,11.2,8,9.8,29,225,14.5
DODGE,AVENGER,MID-SIZE,2.4,4,0,4,0,11.2,8,9.8,29,225,14.5
DODGE,JOURNEY,SUV - SMALL,2.4,4,0,4,0,12.7,9.1,11.1,25,255,14.475
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,0,4,0,17.7,14.4,16.2,17,373,16.325
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,0,4,3,24.1,19.2,21.9,13,350,19.55
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,0,4,0,19.3,14.7,17.2,16,396,16.8
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,0,4,3,24.9,19.6,22.5,13,360,20
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,0,4,0,18.6,14.6,16.8,17,386,16.75
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,0,4,3,25.5,20,23,12,368,20.125
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,0,4,0,20.6,15.5,18.3,15,421,17.35
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,0,4,3,26.7,20.5,23.9,12,382,20.775
GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,0,4,0,17.1,12.7,15.1,19,347,15.975
